wavelength,value
3208.00,0.6827
3207.00,0.6812
3206.00,0.6798
3205.00,0.6782
3204.00,0.6766
3203.00,0.6749
3202.00,0.6732
3201.00,0.6716
3200.00,0.6701
3199.00,0.6687
3198.00,0.6673
3197.00,0.6659
3196.00,0.6644
3195.00,0.6630
3194.00,0.6617
3193.00,0.6604
3192.00,0.6590
3191.00,0.6577
3190.00,0.6563
3189.00,0.6550
3188.00,0.6536
3187.00,0.6522
3186.00,0.6509
3185.00,0.6495
3184.00,0.6482
3183.00,0.6468
3182.00,0.6455
3181.00,0.6442
3180.00,0.6429
3179.00,0.6416
3178.00,0.6404
3177.00,0.6391
3176.00,0.6377
3175.00,0.6364
3174.00,0.6352
3173.00,0.6339
3172.00,0.6327
3171.00,0.6314
3170.00,0.6303
3169.00,0.6291
3168.00,0.6279
3167.00,0.6268
3166.00,0.6258
3165.00,0.6246
3164.00,0.6234
3163.00,0.6223
3162.00,0.6211
3161.00,0.6200
3160.00,0.6189
3159.00,0.6179
3158.00,0.6170
3157.00,0.6162
3156.00,0.6155
3155.00,0.6148
3154.00,0.6141
3153.00,0.6133
3152.00,0.6122
3151.00,0.6110
3150.00,0.6097
3149.00,0.6084
3148.00,0.6071
3147.00,0.6060
3146.00,0.6050
3145.00,0.6040
3144.00,0.6031
3143.00,0.6023
3142.00,0.6016
3141.00,0.6010
3140.00,0.6003
3139.00,0.5995
3138.00,0.5985
3137.00,0.5974
3136.00,0.5963
3135.00,0.5952
3134.00,0.5943
3133.00,0.5935
3132.00,0.5927
3131.00,0.5920
3130.00,0.5912
3129.00,0.5904
3128.00,0.5894
3127.00,0.5885
3126.00,0.5876
3125.00,0.5869
3124.00,0.5863
3123.00,0.5858
3122.00,0.5854
3121.00,0.5849
3120.00,0.5843
3119.00,0.5836
3118.00,0.5829
3117.00,0.5821
3116.00,0.5813
3115.00,0.5804
3114.00,0.5796
3113.00,0.5787
3112.00,0.5778
3111.00,0.5770
3110.00,0.5764
3109.00,0.5759
3108.00,0.5752
3107.00,0.5743
3106.00,0.5735
3105.00,0.5727
3104.00,0.5719
3103.00,0.5713
3102.00,0.5708
3101.00,0.5703
3100.00,0.5698
3099.00,0.5692
3098.00,0.5684
3097.00,0.5676
3096.00,0.5668
3095.00,0.5660
3094.00,0.5655
3093.00,0.5650
3092.00,0.5647
3091.00,0.5644
3090.00,0.5641
3089.00,0.5637
3088.00,0.5632
3087.00,0.5626
3086.00,0.5621
3085.00,0.5616
3084.00,0.5611
3083.00,0.5607
3082.00,0.5602
3081.00,0.5598
3080.00,0.5593
3079.00,0.5589
3078.00,0.5583
3077.00,0.5578
3076.00,0.5571
3075.00,0.5564
3074.00,0.5558
3073.00,0.5552
3072.00,0.5547
3071.00,0.5543
3070.00,0.5540
3069.00,0.5539
3068.00,0.5538
3067.00,0.5535
3066.00,0.5531
3065.00,0.5526
3064.00,0.5520
3063.00,0.5515
3062.00,0.5510
3061.00,0.5506
3060.00,0.5502
3059.00,0.5499
3058.00,0.5498
3057.00,0.5496
3056.00,0.5495
3055.00,0.5493
3054.00,0.5490
3053.00,0.5488
3052.00,0.5486
3051.00,0.5485
3050.00,0.5483
3049.00,0.5482
3048.00,0.5479
3047.00,0.5477
3046.00,0.5476
3045.00,0.5474
3044.00,0.5473
3043.00,0.5472
3042.00,0.5471
3041.00,0.5470
3040.00,0.5467
3039.00,0.5464
3038.00,0.5463
3037.00,0.5463
3036.00,0.5464
3035.00,0.5466
3034.00,0.5469
3033.00,0.5471
3032.00,0.5473
3031.00,0.5474
3030.00,0.5475
3029.00,0.5475
3028.00,0.5475
3027.00,0.5477
3026.00,0.5481
3025.00,0.5486
3024.00,0.5491
3023.00,0.5496
3022.00,0.5502
3021.00,0.5509
3020.00,0.5517
3019.00,0.5526
3018.00,0.5535
3017.00,0.5545
3016.00,0.5556
3015.00,0.5568
3014.00,0.5581
