wavelength,value
3248.00,1.1326
3247.00,1.1332
3246.00,1.1334
3245.00,1.1331
3244.00,1.1323
3243.00,1.1314
3242.00,1.1308
3241.00,1.1305
3240.00,1.1302
3239.00,1.1300
3238.00,1.1300
3237.00,1.1301
3236.00,1.1305
3235.00,1.1311
3234.00,1.1316
3233.00,1.1316
3232.00,1.1306
3231.00,1.1286
3230.00,1.1261
3229.00,1.1233
3228.00,1.1206
3227.00,1.1181
3226.00,1.1157
3225.00,1.1134
3224.00,1.1111
3223.00,1.1089
3222.00,1.1071
3221.00,1.1058
3220.00,1.1044
3219.00,1.1028
3218.00,1.1009
3217.00,1.0990
3216.00,1.0972
3215.00,1.0956
3214.00,1.0939
3213.00,1.0919
3212.00,1.0895
3211.00,1.0873
3210.00,1.0857
3209.00,1.0847
3208.00,1.0837
3207.00,1.0827
3206.00,1.0815
3205.00,1.0800
3204.00,1.0783
3203.00,1.0767
3202.00,1.0753
3201.00,1.0739
3200.00,1.0724
3199.00,1.0708
3198.00,1.0694
3197.00,1.0680
3196.00,1.0667
3195.00,1.0657
3194.00,1.0650
3193.00,1.0644
3192.00,1.0635
3191.00,1.0625
3190.00,1.0612
3189.00,1.0599
3188.00,1.0583
3187.00,1.0566
3186.00,1.0552
3185.00,1.0541
3184.00,1.0530
3183.00,1.0520
3182.00,1.0509
3181.00,1.0498
3180.00,1.0486
3179.00,1.0472
3178.00,1.0458
3177.00,1.0444
3176.00,1.0430
3175.00,1.0416
3174.00,1.0403
3173.00,1.0389
3172.00,1.0376
3171.00,1.0363
3170.00,1.0349
3169.00,1.0335
3168.00,1.0320
3167.00,1.0306
3166.00,1.0292
3165.00,1.0279
3164.00,1.0264
3163.00,1.0248
3162.00,1.0232
3161.00,1.0217
3160.00,1.0203
3159.00,1.0192
3158.00,1.0182
3157.00,1.0174
3156.00,1.0166
3155.00,1.0159
3154.00,1.0153
3153.00,1.0143
3152.00,1.0126
3151.00,1.0101
3150.00,1.0072
3149.00,1.0040
3148.00,1.0010
3147.00,0.9983
3146.00,0.9960
3145.00,0.9940
3144.00,0.9921
3143.00,0.9904
3142.00,0.9892
3141.00,0.9884
3140.00,0.9876
3139.00,0.9863
3138.00,0.9842
3137.00,0.9815
3136.00,0.9784
3135.00,0.9753
3134.00,0.9726
3133.00,0.9703
3132.00,0.9683
3131.00,0.9665
3130.00,0.9646
3129.00,0.9623
3128.00,0.9594
3127.00,0.9562
3126.00,0.9531
3125.00,0.9504
3124.00,0.9480
3123.00,0.9459
3122.00,0.9440
3121.00,0.9421
3120.00,0.9399
3119.00,0.9374
3118.00,0.9347
3117.00,0.9318
3116.00,0.9289
3115.00,0.9258
3114.00,0.9227
3113.00,0.9195
3112.00,0.9164
3111.00,0.9136
3110.00,0.9112
3109.00,0.9090
3108.00,0.9066
3107.00,0.9040
3106.00,0.9014
3105.00,0.8989
3104.00,0.8968
3103.00,0.8951
3102.00,0.8938
3101.00,0.8927
3100.00,0.8916
3099.00,0.8902
3098.00,0.8884
3097.00,0.8863
3096.00,0.8843
3095.00,0.8825
3094.00,0.8813
3093.00,0.8804
3092.00,0.8793
3091.00,0.8781
3090.00,0.8766
3089.00,0.8749
3088.00,0.8732
3087.00,0.8716
3086.00,0.8703
3085.00,0.8690
3084.00,0.8676
3083.00,0.8662
3082.00,0.8647
3081.00,0.8631
3080.00,0.8614
3079.00,0.8596
3078.00,0.8578
3077.00,0.8559
3076.00,0.8539
3075.00,0.8519
3074.00,0.8499
3073.00,0.8479
3072.00,0.8459
3071.00,0.8440
3070.00,0.8423
3069.00,0.8406
