wavelength,value
2818.00,0.6801
2817.00,0.6778
2816.00,0.6754
2815.00,0.6729
2814.00,0.6703
2813.00,0.6677
2812.00,0.6651
2811.00,0.6625
2810.00,0.6599
2809.00,0.6572
2808.00,0.6544
2807.00,0.6515
2806.00,0.6488
2805.00,0.6462
2804.00,0.6438
2803.00,0.6416
2802.00,0.6395
2801.00,0.6377
2800.00,0.6359
2799.00,0.6343
2798.00,0.6328
2797.00,0.6314
2796.00,0.6299
2795.00,0.6285
2794.00,0.6272
2793.00,0.6262
2792.00,0.6252
2791.00,0.6243
2790.00,0.6235
2789.00,0.6228
2788.00,0.6220
2787.00,0.6211
2786.00,0.6203
2785.00,0.6196
2784.00,0.6190
2783.00,0.6184
2782.00,0.6179
2781.00,0.6175
2780.00,0.6170
2779.00,0.6165
2778.00,0.6162
2777.00,0.6159
2776.00,0.6157
2775.00,0.6154
2774.00,0.6150
2773.00,0.6146
2772.00,0.6141
2771.00,0.6137
2770.00,0.6134
2769.00,0.6132
2768.00,0.6129
2767.00,0.6126
2766.00,0.6123
2765.00,0.6122
2764.00,0.6120
2763.00,0.6118
2762.00,0.6116
2761.00,0.6115
2760.00,0.6114
2759.00,0.6114
2758.00,0.6114
2757.00,0.6114
2756.00,0.6114
2755.00,0.6114
2754.00,0.6115
2753.00,0.6117
2752.00,0.6119
2751.00,0.6123
2750.00,0.6127
2749.00,0.6132
2748.00,0.6136
2747.00,0.6140
2746.00,0.6143
2745.00,0.6146
2744.00,0.6149
2743.00,0.6150
2742.00,0.6152
2741.00,0.6152
2740.00,0.6153
2739.00,0.6154
2738.00,0.6156
2737.00,0.6156
2736.00,0.6156
2735.00,0.6154
2734.00,0.6153
2733.00,0.6152
2732.00,0.6151
2731.00,0.6150
2730.00,0.6150
2729.00,0.6151
2728.00,0.6152
2727.00,0.6153
2726.00,0.6153
2725.00,0.6153
2724.00,0.6152
2723.00,0.6150
2722.00,0.6149
2721.00,0.6147
2720.00,0.6144
2719.00,0.6142
2718.00,0.6139
2717.00,0.6137
2716.00,0.6134
2715.00,0.6131
2714.00,0.6127
2713.00,0.6122
2712.00,0.6116
2711.00,0.6111
2710.00,0.6107
2709.00,0.6103
2708.00,0.6098
2707.00,0.6092
2706.00,0.6087
2705.00,0.6081
2704.00,0.6074
2703.00,0.6068
2702.00,0.6062
2701.00,0.6055
2700.00,0.6047
2699.00,0.6039
2698.00,0.6030
2697.00,0.6022
2696.00,0.6013
2695.00,0.6004
2694.00,0.5995
2693.00,0.5985
2692.00,0.5975
2691.00,0.5965
2690.00,0.5955
2689.00,0.5945
2688.00,0.5934
2687.00,0.5922
2686.00,0.5911
2685.00,0.5899
2684.00,0.5888
2683.00,0.5876
2682.00,0.5864
2681.00,0.5852
2680.00,0.5839
2679.00,0.5827
2678.00,0.5815
2677.00,0.5802
2676.00,0.5790
2675.00,0.5778
2674.00,0.5766
2673.00,0.5754
2672.00,0.5741
2671.00,0.5729
2670.00,0.5717
2669.00,0.5706
2668.00,0.5693
2667.00,0.5680
2666.00,0.5668
2665.00,0.5658
2664.00,0.5648
2663.00,0.5639
2662.00,0.5630
2661.00,0.5621
2660.00,0.5611
2659.00,0.5602
2658.00,0.5595
2657.00,0.5588
2656.00,0.5581
2655.00,0.5574
2654.00,0.5567
2653.00,0.5561
2652.00,0.5556
2651.00,0.5552
2650.00,0.5548
2649.00,0.5545
2648.00,0.5541
2647.00,0.5538
2646.00,0.5535
2645.00,0.5533
2644.00,0.5531
2643.00,0.5530
2642.00,0.5529
2641.00,0.5528
2640.00,0.5527
2639.00,0.5527
2638.00,0.5528
2637.00,0.5530
2636.00,0.5532
2635.00,0.5533
2634.00,0.5535
2633.00,0.5536
2632.00,0.5537
2631.00,0.5539
2630.00,0.5541
2629.00,0.5543
2628.00,0.5544
2627.00,0.5545
2626.00,0.5546
2625.00,0.5547
2624.00,0.5547
2623.00,0.5548
2622.00,0.5549
2621.00,0.5549
2620.00,0.5549
2619.00,0.5549
2618.00,0.5550
2617.00,0.5551
2616.00,0.5553
2615.00,0.5553
2614.00,0.5554
2613.00,0.5553
2612.00,0.5552
2611.00,0.5551
2610.00,0.5549
2609.00,0.5548
2608.00,0.5547
2607.00,0.5546
2606.00,0.5544
2605.00,0.5543
2604.00,0.5541
